,id,cons_12m,cons_gas_12m,cons_last_month,date_activ,date_end,date_modif_prod,date_renewal,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,churn,delta_price_off_peak_var,delta_price_peak_var,delta_price_mid_peak_var,delta_price_off_peak_fix,delta_price_peak_fix,delta_price_mid_peak_fix,avg_price_off_peak_var,avg_price_peak_var,avg_price_mid_peak_var,avg_price_off_peak_fix,avg_price_peak_fix,avg_price_mid_peak_fix
0,24011ae4ebbe3035111d65fa7c15bc57,0,54946,0,2013-06-15,2016-06-15,2015-11-01,2015-06-23,0.0,0,0.0,1.78,0.114481,0.098142,40.606701,t,0.0,25.44,25.44,2,678.99,3,43.648,1,0.0201,-0.0179,-0.0715,3.701,-0.0179,-0.0715,0.1248,0.1007,0.0665,40.9423,22.352,14.9013
1,d29c2c54acc38ff3c0614d0a653813dd,4660,0,0,2009-08-21,2016-08-30,2009-08-21,2015-08-31,189.95,0,0.0,16.27,0.1457109999999999,0.0,44.31137796,f,0.0,16.38,16.38,1,18.89,6,13.8,0,-0.0038,0.0,0.0,0.1778,0.0,0.0,0.1496,0.0071,0.0,44.3114,0.0,0.0
2,764c75f661154dac3a6c254cd082ea7d,544,0,0,2010-04-16,2016-04-16,2010-04-16,2015-04-17,47.96,0,0.0,38.72,0.165794,0.087899,44.31137796,f,0.0,28.6,28.6,1,6.6,6,13.856,0,-0.0047,0.0005,0.0,0.1778,0.0005,0.0,0.1705,0.0884,0.0,44.3855,0.0,0.0
3,bba03439a292a1e166f80264c16191cb,1584,0,0,2010-03-30,2016-03-30,2010-03-30,2015-03-31,240.04,0,0.0,19.83,0.146694,0.0,44.31137796,f,0.0,30.22,30.22,1,25.46,6,13.2,0,-0.0045,0.0,0.0,0.1778,0.0,0.0,0.1512,0.0,0.0,44.4003,0.0,0.0
4,149d57cf92fc41cf94415803a877cb4b,4425,0,526,2010-01-13,2016-03-07,2010-01-13,2015-03-09,445.75,526,0.0,131.73,0.1169,0.1000149999999999,40.606701,f,52.32,44.91,44.91,1,47.98,6,19.8,0,-0.0062,-0.0023,0.0035,0.1629,-0.0023,0.0035,0.1242,0.1036,0.0729,40.6882,24.4129,16.2753
5,1aa498825382410b098937d65c4ec26d,8302,0,1998,2011-12-09,2016-12-09,2015-11-01,2015-12-10,796.94,1998,0.0,30.12,0.164775,0.086131,45.30837756,f,181.21,33.12,33.12,1,118.89,4,13.2,1,-0.0081,-0.0042,0.0,-0.0,-0.0042,0.0,0.169,0.0876,0.0,44.2669,0.0,0.0
6,7ab4bf4878d8f7661dfc20e9b8e18011,45097,0,0,2011-12-02,2016-12-02,2011-12-02,2015-12-03,8069.28,0,0.0,0.0,0.166178,0.087538,44.31137796,f,0.0,4.04,4.04,1,346.63,4,15.0,1,-0.0046,-0.0008,0.0,0.0,-0.0008,0.0,0.1661,0.0847,0.0,44.2669,0.0,0.0
7,01495c955be7ec5e7f3203406785aae0,29552,0,1260,2010-04-21,2016-04-21,2010-04-21,2015-04-22,864.73,751,0.0,144.49,0.115174,0.098837,40.606701,f,70.63,53.92,53.92,1,100.09,6,26.4,0,-0.0078,-0.0029,0.003,0.1629,-0.0029,0.003,0.1228,0.1025,0.0735,40.6746,24.4047,16.2698
8,f53a254b1115634330c12c7fdbf7958a,2962,0,0,2011-09-23,2016-09-23,2011-09-23,2015-09-25,444.38,0,0.0,15.85,0.1457109999999999,0.0,44.31137796,f,0.0,12.82,12.82,1,42.59,4,13.2,0,-0.0038,0.0,0.0,0.1778,0.0,0.0,0.1497,0.0,0.0,44.3114,0.0,0.0
9,10c1b2f97a2d2a6f10299dc213d1a370,26064,0,2188,2010-05-04,2016-05-04,2015-04-29,2015-05-05,2738.1,2188,0.0,130.43,0.1157609999999999,0.099419,40.606701,f,219.59,33.42,33.42,1,329.6,6,31.5,0,-0.0071,-0.0021,0.0039,0.0,-0.0021,0.0039,0.1234,0.103,0.0738,40.7289,24.4373,16.2916
