id;new_business;age;number_of_contracts;property;life;health;premium_customer;premium_household;sales_channel;new_business_py;self_employed;gender_male
1;0;59;1;1;0;0;164;1976.11;other;none;0;1
2;0;59;1;0;1;0;272.18;272.18;tied_agend;none;0;0
3;0;53;2;0;1;1;1298.28;20160.83;tied_agend;none;0;0
4;0;30;1;0;0;1;5.13;5.13;tied_agend;none;0;1
5;0;43;4;1;0;1;710.61;710.61;tied_agend;p;1;0
6;1;51;1;1;0;0;513.38;4151.37;broker;none;0;0
7;0;48;1;0;1;0;252.05;252.05;broker;none;0;0
8;0;59;1;0;1;0;646.71;646.71;tied_agend;none;0;1
9;0;58;1;0;1;0;29460.61;29460.61;bank;none;0;1
10;1;41;1;1;0;0;342.83;342.83;tied_agend;none;1;1
11;0;56;5;1;1;1;2042.5;2284.73;multiple;none;0;0
12;0;55;1;1;0;0;97.08;97.08;tied_agend;none;1;0
13;0;62;5;1;1;0;1657.23;1657.23;tied_agend;none;0;0
14;1;47;4;1;1;1;551.38;551.38;multiple;none;1;0
15;1;44;2;1;0;0;1319.11;1319.11;tied_agend;none;0;1
16;0;30;1;0;0;1;394.07;727.6;tied_agend;none;0;0
17;0;49;1;0;1;0;411.62;3475.99;other;none;0;0
18;0;65;1;1;0;0;69.12;69.12;tied_agend;none;0;1
19;1;54;3;1;0;0;1617.6;1617.6;multiple;p;1;0
20;0;36;3;1;0;1;417;417;tied_agend;none;0;1
21;0;47;3;1;1;0;2667.94;2667.94;tied_agend;none;0;0
22;0;63;1;1;0;0;285.63;507.4;tied_agend;none;0;1
23;1;30;2;1;0;0;960.15;960.15;tied_agend;none;0;1
24;1;63;1;0;1;0;1822.93;3089.02;tied_agend;none;1;1
25;1;46;2;1;0;0;460.22;460.22;tied_agend;p;0;1
26;1;52;4;1;0;0;1036.19;1036.19;tied_agend;p;0;1
27;0;56;1;0;0;1;171.55;171.55;tied_agend;none;0;1
28;0;52;1;1;0;0;538.48;538.48;tied_agend;none;0;1
29;1;54;12;1;1;1;23738.21;23738.21;tied_agend;p;0;1
30;0;45;1;0;1;0;8728.02;8728.02;bank;none;0;0
31;0;61;1;0;0;1;39.65;39.65;tied_agend;none;0;1
32;0;51;1;1;0;0;321.11;321.11;tied_agend;none;0;1
33;0;51;7;1;1;0;11423.5;13474.61;tied_agend;none;1;1
34;0;32;9;1;1;1;3707.27;3995.75;tied_agend;none;0;1
35;0;46;2;0;1;1;823.29;823.29;multiple;none;0;0
36;0;67;4;1;0;0;573.79;573.79;tied_agend;none;0;0
37;1;49;1;0;1;0;1366.81;1366.81;bank;none;0;0
38;0;60;2;0;1;1;2181.32;2181.32;tied_agend;none;0;1
39;0;32;3;1;1;0;2533.82;6764.7;multiple;lh;0;0
40;0;55;4;1;0;1;1124.78;1124.78;tied_agend;p;1;1
41;0;35;6;1;1;1;2563.08;5261.31;tied_agend;none;0;0
42;0;69;3;1;0;0;840.73;5430.91;tied_agend;none;0;0
43;0;51;2;1;1;0;106.83;106.83;tied_agend;none;0;1
44;0;67;5;1;0;1;7634.79;11649.05;tied_agend;none;0;0
45;0;67;1;1;0;0;354.19;354.19;bank;none;0;0
46;1;58;6;1;1;0;4885.15;10849.35;tied_agend;none;0;1
47;0;56;1;1;0;0;872.9;872.9;broker;p;1;1
48;0;34;3;1;0;1;1249.42;2760.89;tied_agend;none;0;1
49;0;50;1;1;0;0;228.99;228.99;tied_agend;none;1;1
50;1;65;4;1;0;1;534.17;534.17;tied_agend;p;1;1
51;0;57;5;1;1;0;1262.63;1266.3;tied_agend;none;0;1
52;0;70;3;1;0;0;450.47;450.47;broker;none;0;1
53;0;41;2;1;0;0;98.1;98.1;tied_agend;none;0;1
54;0;56;3;1;0;0;366.59;1484.95;tied_agend;none;0;1
55;0;43;1;1;0;0;968.26;1243.8;tied_agend;none;0;0
56;0;48;4;1;0;1;172.46;172.46;tied_agend;none;0;1
57;1;46;1;1;0;0;295.75;295.75;tied_agend;none;1;1
58;1;35;3;1;0;0;482.6;482.6;tied_agend;none;0;1
59;0;44;2;0;1;0;1019.27;1019.27;bank;none;0;0
60;0;67;2;1;0;0;341.78;1706.72;multiple;none;0;0
61;0;69;2;1;0;0;468.63;468.63;tied_agend;none;0;0
62;1;32;1;1;0;0;578.19;578.19;other;none;1;0
63;0;32;5;1;1;0;1318.1;1318.1;tied_agend;none;1;0
64;0;58;1;0;0;1;670.48;670.48;tied_agend;none;0;0
65;1;48;6;1;1;0;3188.77;5485.07;tied_agend;none;0;1
66;0;37;1;0;1;0;10559.99;21160.89;other;none;0;1
67;0;36;1;0;1;0;131.79;131.79;bank;none;0;0
68;0;66;5;1;0;1;771.79;1212.59;tied_agend;none;1;1
69;0;62;1;0;0;1;79.17;79.17;tied_agend;none;0;1
70;0;40;1;1;0;0;357;357;other;none;1;0
71;0;70;2;1;0;1;702.27;702.27;tied_agend;none;0;1
72;0;62;1;1;0;0;154.44;154.44;tied_agend;none;0;0
73;1;52;4;1;1;0;7059.37;7059.37;multiple;none;0;1
74;0;40;1;0;0;1;373.56;373.56;bank;lh;1;0
75;0;70;8;1;1;0;3340.73;11123.71;tied_agend;none;0;1
76;0;52;6;1;1;1;1379.28;1379.28;tied_agend;p;0;0
77;0;49;8;1;1;1;3363.29;3363.29;multiple;p;1;0
78;0;48;1;0;1;0;434.23;434.23;broker;none;0;0
79;0;47;5;1;1;1;11200.11;11200.11;tied_agend;none;0;1
80;1;30;2;1;1;0;1619.32;1619.32;tied_agend;none;1;0
81;0;46;1;1;0;0;555.33;555.33;tied_agend;none;1;1
82;0;51;6;1;1;1;3710.76;4020.4;multiple;none;0;0
83;0;38;1;1;0;0;244.97;1343.55;tied_agend;none;0;1
84;0;65;2;1;1;0;9722.41;16561.25;broker;none;0;0
85;1;67;4;1;0;1;824.63;824.63;tied_agend;none;1;1
86;0;36;1;1;0;0;59.71;59.71;tied_agend;none;0;0
87;1;52;3;1;0;0;1007.01;1190.02;tied_agend;none;0;1
88;0;43;1;0;0;1;916.19;916.19;tied_agend;none;0;0
89;0;37;2;1;0;0;646.16;2547.52;tied_agend;none;0;1
90;0;46;1;1;0;0;318.88;318.88;other;none;1;0
91;0;39;3;1;1;0;2110.34;2777.33;tied_agend;none;0;1
92;1;66;5;1;0;0;1159.13;2160.04;tied_agend;none;0;1
93;0;54;2;1;1;0;1940.08;1940.08;tied_agend;none;0;1
94;0;46;1;1;0;0;282.26;339.44;other;none;0;1
95;0;31;1;1;0;0;763.65;763.65;tied_agend;p;0;1
96;0;56;2;1;0;0;380.75;380.75;tied_agend;none;0;0
97;0;57;1;1;0;0;245.93;658.09;tied_agend;none;0;0
98;0;39;1;1;0;0;178.16;178.16;tied_agend;p;0;1
99;0;50;5;1;1;0;1362.4;1631.62;tied_agend;none;1;1
100;0;63;1;0;1;0;1928.42;1928.42;bank;none;1;1
101;0;37;1;0;1;0;149.44;149.44;bank;none;1;1
